00001 A00     0 Cholera                                                      Cholera
01508 C4000   1 Malig neoplasm of scapula and long bones of unsp upper limb  Malignant neoplasm of scapula and long bones of unspecified upper limb
01509 C4001   1 Malig neoplasm of scapula and long bones of right upper limb Malignant neoplasm of scapula and long bones of right upper limb
01510 C4002   1 Malig neoplasm of scapula and long bones of left upper limb  Malignant neoplasm of scapula and long bones of left upper limb
01511 C401    0 Malignant neoplasm of short bones of upper limb              Malignant neoplasm of short bones of upper limb
01512 C4010   1 Malignant neoplasm of short bones of unspecified upper limb  Malignant neoplasm of short bones of unspecified upper limb
01513 C4011   1 Malignant neoplasm of short bones of right upper limb        Malignant neoplasm of short bones of right upper limb
01514 C4012   1 Malignant neoplasm of short bones of left upper limb         Malignant neoplasm of short bones of left upper limb
01515 C402    0 Malignant neoplasm of long bones of lower limb               Malignant neoplasm of long bones of lower limb
01516 C4020   1 Malignant neoplasm of long bones of unspecified lower limb   Malignant neoplasm of long bones of unspecified lower limb
01517 C4021   1 Malignant neoplasm of long bones of right lower limb         Malignant neoplasm of long bones of right lower limb
01518 C4022   1 Malignant neoplasm of long bones of left lower limb          Malignant neoplasm of long bones of left lower limb
01519 C403    0 Malignant neoplasm of short bones of lower limb              Malignant neoplasm of short bones of lower limb
01520 C4030   1 Malignant neoplasm of short bones of unspecified lower limb  Malignant neoplasm of short bones of unspecified lower limb
01521 C4031   1 Malignant neoplasm of short bones of right lower limb        Malignant neoplasm of short bones of right lower limb
01522 C4032   1 Malignant neoplasm of short bones of left lower limb         Malignant neoplasm of short bones of left lower limb
01523 C408    0 Malig neoplasm of ovrlp sites of bone/artic cartl of limb    Malignant neoplasm of overlapping sites of bone and articular cartilage of limb
01524 C4080   1 Malig neoplm of ovrlp sites of bone/artic cartl of unsp limb Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
01525 C4081   1 Malig neoplm of ovrlp sites of bone/artic cartl of r limb    Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
01526 C4082   1 Malig neoplm of ovrlp sites of bone/artic cartl of left limb Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
01527 C409    0 Malignant neoplasm of unsp bones and artic cartilage of limb Malignant neoplasm of unspecified bones and articular cartilage of limb
01528 C4090   1 Malig neoplasm of unsp bones and artic cartlg of unsp limb   Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
01529 C4091   1 Malig neoplasm of unsp bones and artic cartlg of right limb  Malignant neoplasm of unspecified bones and articular cartilage of right limb
01530 C4092   1 Malig neoplasm of unsp bones and artic cartlg of left limb   Malignant neoplasm of unspecified bones and articular cartilage of left limb
01531 C41     0 Malignant neoplasm of bone/artic cartl of and unsp sites     Malignant neoplasm of bone and articular cartilage of other and unspecified sites
01532 C410    1 Malignant neoplasm of bones of skull and face                Malignant neoplasm of bones of skull and face
01533 C411    1 Malignant neoplasm of mandible                               Malignant neoplasm of mandible
01534 C412    1 Malignant neoplasm of vertebral column                       Malignant neoplasm of vertebral column
01535 C413    1 Malignant neoplasm of ribs, sternum and clavicle             Malignant neoplasm of ribs, sternum and clavicle
01536 C414    1 Malignant neoplasm of pelvic bones, sacrum and coccyx        Malignant neoplasm of pelvic bones, sacrum and coccyx
01537 C419    1 Malignant neoplasm of bone and articular cartilage, unsp     Malignant neoplasm of bone and articular cartilage, unspecified
01538 C43     0 Malignant melanoma of skin                                   Malignant melanoma of skin
01539 C430    1 Malignant melanoma of lip                                    Malignant melanoma of lip
01540 C431    0 Malignant melanoma of eyelid, including canthus              Malignant melanoma of eyelid, including canthus
01541 C4310   1 Malignant melanoma of unspecified eyelid, including canthus  Malignant melanoma of unspecified eyelid, including canthus
01542 C4311   0 Malignant melanoma of right eyelid, including canthus        Malignant melanoma of right eyelid, including canthus
01543 C43111  1 Malignant melanoma of right upper eyelid, including canthus  Malignant melanoma of right upper eyelid, including canthus
01544 C43112  1 Malignant melanoma of right lower eyelid, including canthus  Malignant melanoma of right lower eyelid, including canthus
01545 C4312   0 Malignant melanoma of left eyelid, including canthus         Malignant melanoma of left eyelid, including canthus
01546 C43121  1 Malignant melanoma of left upper eyelid, including canthus   Malignant melanoma of left upper eyelid, including canthus
01547 C43122  1 Malignant melanoma of left lower eyelid, including canthus   Malignant melanoma of left lower eyelid, including canthus
01548 C432    0 Malignant melanoma of ear and external auricular canal       Malignant melanoma of ear and external auricular canal
01549 C4320   1 Malignant melanoma of unsp ear and external auricular canal  Malignant melanoma of unspecified ear and external auricular canal
01550 C4321   1 Malignant melanoma of right ear and external auricular canal Malignant melanoma of right ear and external auricular canal
01551 C4322   1 Malignant melanoma of left ear and external auricular canal  Malignant melanoma of left ear and external auricular canal
01552 C433    0 Malignant melanoma of other and unspecified parts of face    Malignant melanoma of other and unspecified parts of face
01553 C4330   1 Malignant melanoma of unspecified part of face               Malignant melanoma of unspecified part of face
01554 C4331   1 Malignant melanoma of nose                                   Malignant melanoma of nose
01555 C4339   1 Malignant melanoma of other parts of face                    Malignant melanoma of other parts of face
01556 C434    1 Malignant melanoma of scalp and neck                         Malignant melanoma of scalp and neck
01557 C435    0 Malignant melanoma of trunk                                  Malignant melanoma of trunk
01558 C4351   1 Malignant melanoma of anal skin                              Malignant melanoma of anal skin
01559 C4352   1 Malignant melanoma of skin of breast                         Malignant melanoma of skin of breast
01560 C4359   1 Malignant melanoma of other part of trunk                    Malignant melanoma of other part of trunk
01561 C436    0 Malignant melanoma of upper limb, including shoulder         Malignant melanoma of upper limb, including shoulder
01562 C4360   1 Malignant melanoma of unsp upper limb, including shoulder    Malignant melanoma of unspecified upper limb, including shoulder
01563 C4361   1 Malignant melanoma of right upper limb, including shoulder   Malignant melanoma of right upper limb, including shoulder
01564 C4362   1 Malignant melanoma of left upper limb, including shoulder    Malignant melanoma of left upper limb, including shoulder
01565 C437    0 Malignant melanoma of lower limb, including hip              Malignant melanoma of lower limb, including hip
01566 C4370   1 Malignant melanoma of unspecified lower limb, including hip  Malignant melanoma of unspecified lower limb, including hip
01567 C4371   1 Malignant melanoma of right lower limb, including hip        Malignant melanoma of right lower limb, including hip
01568 C4372   1 Malignant melanoma of left lower limb, including hip         Malignant melanoma of left lower limb, including hip
01569 C438    1 Malignant melanoma of overlapping sites of skin              Malignant melanoma of overlapping sites of skin
01570 C439    1 Malignant melanoma of skin, unspecified                      Malignant melanoma of skin, unspecified
01571 C4A     0 Merkel cell carcinoma                                        Merkel cell carcinoma
01572 C4A0    1 Merkel cell carcinoma of lip                                 Merkel cell carcinoma of lip
01573 C4A1    0 Merkel cell carcinoma of eyelid, including canthus           Merkel cell carcinoma of eyelid, including canthus
01574 C4A10   1 Merkel cell carcinoma of unsp eyelid, including canthus      Merkel cell carcinoma of unspecified eyelid, including canthus
01575 C4A11   0 Merkel cell carcinoma of right eyelid, including canthus     Merkel cell carcinoma of right eyelid, including canthus
01576 C4A111  1 Merkel cell carcinoma of right upper eyelid, inc canthus     Merkel cell carcinoma of right upper eyelid, including canthus
01577 C4A112  1 Merkel cell carcinoma of right lower eyelid, inc canthus     Merkel cell carcinoma of right lower eyelid, including canthus
01578 C4A12   0 Merkel cell carcinoma of left eyelid, including canthus      Merkel cell carcinoma of left eyelid, including canthus
01579 C4A121  1 Merkel cell carcinoma of left upper eyelid, inc canthus      Merkel cell carcinoma of left upper eyelid, including canthus
01580 C4A122  1 Merkel cell carcinoma of left lower eyelid, inc canthus      Merkel cell carcinoma of left lower eyelid, including canthus
01581 C4A2    0 Merkel cell carcinoma of ear and external auricular canal    Merkel cell carcinoma of ear and external auricular canal
01582 C4A20   1 Merkel cell carcinoma of unsp ear and external auric canal   Merkel cell carcinoma of unspecified ear and external auricular canal
01583 C4A21   1 Merkel cell carcinoma of right ear and external auric canal  Merkel cell carcinoma of right ear and external auricular canal
01584 C4A22   1 Merkel cell carcinoma of left ear and external auric canal   Merkel cell carcinoma of left ear and external auricular canal
01585 C4A3    0 Merkel cell carcinoma of other and unspecified parts of face Merkel cell carcinoma of other and unspecified parts of face
01586 C4A30   1 Merkel cell carcinoma of unspecified part of face            Merkel cell carcinoma of unspecified part of face
01587 C4A31   1 Merkel cell carcinoma of nose                                Merkel cell carcinoma of nose
01588 C4A39   1 Merkel cell carcinoma of other parts of face                 Merkel cell carcinoma of other parts of face
01589 C4A4    1 Merkel cell carcinoma of scalp and neck                      Merkel cell carcinoma of scalp and neck
01590 C4A5    0 Merkel cell carcinoma of trunk                               Merkel cell carcinoma of trunk
01591 C4A51   1 Merkel cell carcinoma of anal skin                           Merkel cell carcinoma of anal skin
01592 C4A52   1 Merkel cell carcinoma of skin of breast                      Merkel cell carcinoma of skin of breast
01593 C4A59   1 Merkel cell carcinoma of other part of trunk                 Merkel cell carcinoma of other part of trunk
01594 C4A6    0 Merkel cell carcinoma of upper limb, including shoulder      Merkel cell carcinoma of upper limb, including shoulder
01595 C4A60   1 Merkel cell carcinoma of unsp upper limb, including shoulder Merkel cell carcinoma of unspecified upper limb, including shoulder
01596 C4A61   1 Merkel cell carcinoma of right upper limb, inc shoulder      Merkel cell carcinoma of right upper limb, including shoulder
01597 C4A62   1 Merkel cell carcinoma of left upper limb, including shoulder Merkel cell carcinoma of left upper limb, including shoulder
01598 C4A7    0 Merkel cell carcinoma of lower limb, including hip           Merkel cell carcinoma of lower limb, including hip
01599 C4A70   1 Merkel cell carcinoma of unsp lower limb, including hip      Merkel cell carcinoma of unspecified lower limb, including hip
01600 C4A71   1 Merkel cell carcinoma of right lower limb, including hip     Merkel cell carcinoma of right lower limb, including hip
01601 C4A72   1 Merkel cell carcinoma of left lower limb, including hip      Merkel cell carcinoma of left lower limb, including hip
01602 C4A8    1 Merkel cell carcinoma of overlapping sites                   Merkel cell carcinoma of overlapping sites
01603 C4A9    1 Merkel cell carcinoma, unspecified                           Merkel cell carcinoma, unspecified
01604 C44     0 Other and unspecified malignant neoplasm of skin             Other and unspecified malignant neoplasm of skin
01605 C440    0 Other and unspecified malignant neoplasm of skin of lip      Other and unspecified malignant neoplasm of skin of lip
01606 C4400   1 Unspecified malignant neoplasm of skin of lip                Unspecified malignant neoplasm of skin of lip
01607 C4401   1 Basal cell carcinoma of skin of lip                          Basal cell carcinoma of skin of lip
01608 C4402   1 Squamous cell carcinoma of skin of lip                       Squamous cell carcinoma of skin of lip
01609 C4409   1 Other specified malignant neoplasm of skin of lip            Other specified malignant neoplasm of skin of lip
01610 C441    0 Oth and unsp malignant neoplasm skin/ eyelid, inc canthus    Other and unspecified malignant neoplasm of skin of eyelid, including canthus
01611 C4410   0 Unsp malignant neoplasm of skin of eyelid, including canthus Unspecified malignant neoplasm of skin of eyelid, including canthus
01612 C44101  1 Unsp malignant neoplasm skin/ unsp eyelid, including canthus Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus
01613 C44102  0 Unsp malignant neoplasm skin/ right eyelid, inc canthus      Unspecified malignant neoplasm of skin of right eyelid, including canthus
01614 C441021 1 Unsp malig neoplasm skin/ right upper eyelid, inc canthus    Unspecified malignant neoplasm of skin of right upper eyelid, including canthus
01615 C441022 1 Unsp malig neoplasm skin/ right lower eyelid, inc canthus    Unspecified malignant neoplasm of skin of right lower eyelid, including canthus
01616 C44109  0 Unsp malignant neoplasm skin/ left eyelid, including canthus Unspecified malignant neoplasm of skin of left eyelid, including canthus
01617 C441091 1 Unsp malignant neoplasm skin/ left upper eyelid, inc canthus Unspecified malignant neoplasm of skin of left upper eyelid, including canthus
01618 C441092 1 Unsp malignant neoplasm skin/ left lower eyelid, inc canthus Unspecified malignant neoplasm of skin of left lower eyelid, including canthus
01619 C4411   0 Basal cell carcinoma of skin of eyelid, including canthus    Basal cell carcinoma of skin of eyelid, including canthus
01620 C44111  1 Basal cell carcinoma skin/ unsp eyelid, including canthus    Basal cell carcinoma of skin of unspecified eyelid, including canthus
01621 C44112  0 Basal cell carcinoma skin/ right eyelid, including canthus   Basal cell carcinoma of skin of right eyelid, including canthus
01622 C441121 1 Basal cell carcinoma skin/ right upper eyelid, inc canthus   Basal cell carcinoma of skin of right upper eyelid, including canthus
01623 C441122 1 Basal cell carcinoma skin/ right lower eyelid, inc canthus   Basal cell carcinoma of skin of right lower eyelid, including canthus
01624 C44119  0 Basal cell carcinoma skin/ left eyelid, including canthus    Basal cell carcinoma of skin of left eyelid, including canthus
01625 C441191 1 Basal cell carcinoma skin/ left upper eyelid, inc canthus    Basal cell carcinoma of skin of left upper eyelid, including canthus
01626 C441192 1 Basal cell carcinoma skin/ left lower eyelid, inc canthus    Basal cell carcinoma of skin of left lower eyelid, including canthus
01627 C4412   0 Squamous cell carcinoma of skin of eyelid, including canthus Squamous cell carcinoma of skin of eyelid, including canthus
01628 C44121  1 Squamous cell carcinoma skin/ unsp eyelid, including canthus Squamous cell carcinoma of skin of unspecified eyelid, including canthus
01629 C44122  0 Squamous cell carcinoma skin/ right eyelid, inc canthus      Squamous cell carcinoma of skin of right eyelid, including canthus
01630 C441221 1 Squamous cell carcinoma skin/ r upper eyelid, inc canthus    Squamous cell carcinoma of skin of right upper eyelid, including canthus
01631 C441222 1 Squamous cell carcinoma skin/ right low eyelid, inc canthus  Squamous cell carcinoma of skin of right lower eyelid, including canthus
01632 C44129  0 Squamous cell carcinoma skin/ left eyelid, including canthus Squamous cell carcinoma of skin of left eyelid, including canthus
01633 C441291 1 Squamous cell carcinoma skin/ left upper eyelid, inc canthus Squamous cell carcinoma of skin of left upper eyelid, including canthus
01634 C441292 1 Squamous cell carcinoma skin/ left lower eyelid, inc canthus Squamous cell carcinoma of skin of left lower eyelid, including canthus
01635 C4413   0 Sebaceous cell carcinoma skin/ eyelid, including canthus     Sebaceous cell carcinoma of skin of eyelid, including canthus
01636 C44131  1 Sebaceous cell carcinoma skin/ unsplid, including canthus    Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus
01637 C44132  0 Sebaceous cell carcinoma skin/ right eyelid, inc canthus     Sebaceous cell carcinoma of skin of right eyelid, including canthus
01638 C441321 1 Sebaceous cell carcinoma skin/ r upper eyelid, inc canthus   Sebaceous cell carcinoma of skin of right upper eyelid, including canthus
01639 C441322 1 Sebaceous cell carcinoma skin/ right low eyelid, inc canthus Sebaceous cell carcinoma of skin of right lower eyelid, including canthus
01640 C44139  0 Sebaceous cell carcinoma skin/ left eyelid, inc canthus      Sebaceous cell carcinoma of skin of left eyelid, including canthus
01641 C441391 1 Sebaceous cell carcinoma skin/ left upr eyelid, inc canthus  Sebaceous cell carcinoma of skin of left upper eyelid, including canthus
01642 C441392 1 Sebaceous cell carcinoma skin/ left low eyelid, inc canthus  Sebaceous cell carcinoma of skin of left lower eyelid, including canthus
01643 C4419   0 Oth malignant neoplasm of skin of eyelid, including canthus  Other specified malignant neoplasm of skin of eyelid, including canthus
01644 C44191  1 Oth malignant neoplasm skin/ unsp eyelid, including canthus  Other specified malignant neoplasm of skin of unspecified eyelid, including canthus
01645 C44192  0 Oth malignant neoplasm skin/ right eyelid, including canthus Other specified malignant neoplasm of skin of right eyelid, including canthus
01646 C441921 1 Oth malignant neoplasm skin/ right upper eyelid, inc canthus Other specified malignant neoplasm of skin of right upper eyelid, including canthus
01647 C441922 1 Oth malignant neoplasm skin/ right lower eyelid, inc canthus Other specified malignant neoplasm of skin of right lower eyelid, including canthus
01648 C44199  0 Oth malignant neoplasm skin/ left eyelid, including canthus  Other specified malignant neoplasm of skin of left eyelid, including canthus
01649 C441991 1 Oth malignant neoplasm skin/ left upper eyelid, inc canthus  Other specified malignant neoplasm of skin of left upper eyelid, including canthus
01650 C441992 1 Oth malignant neoplasm skin/ left lower eyelid, inc canthus  Other specified malignant neoplasm of skin of left lower eyelid, including canthus
01651 C442    0 Oth and unsp malig neoplasm skin/ ear and extrn auric canal  Other and unspecified malignant neoplasm of skin of ear and external auricular canal
01652 C4420   0 Unsp malignant neoplasm skin/ ear and external auric canal   Unspecified malignant neoplasm of skin of ear and external auricular canal
01653 C44201  1 Unsp malig neoplasm skin/ unsp ear and external auric canal  Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
01654 C44202  1 Unsp malig neoplasm skin/ right ear and external auric canal Unspecified malignant neoplasm of skin of right ear and external auricular canal
01655 C44209  1 Unsp malig neoplasm skin/ left ear and external auric canal  Unspecified malignant neoplasm of skin of left ear and external auricular canal
01656 C4421   0 Basal cell carcinoma skin/ ear and external auricular canal  Basal cell carcinoma of skin of ear and external auricular canal
01657 C44211  1 Basal cell carcinoma skin/ unsp ear and external auric canal Basal cell carcinoma of skin of unspecified ear and external auricular canal
01658 C44212  1 Basal cell carcinoma skin/ r ear and external auric canal    Basal cell carcinoma of skin of right ear and external auricular canal
01659 C44219  1 Basal cell carcinoma skin/ left ear and external auric canal Basal cell carcinoma of skin of left ear and external auricular canal
01660 C4422   0 Squamous cell carcinoma skin/ ear and external auric canal   Squamous cell carcinoma of skin of ear and external auricular canal
01661 C44221  1 Squamous cell carcinoma skin/ unsp ear and extrn auric canal Squamous cell carcinoma of skin of unspecified ear and external auricular canal
01662 C44222  1 Squamous cell carcinoma skin/ r ear and external auric canal Squamous cell carcinoma of skin of right ear and external auricular canal
01663 C44229  1 Squamous cell carcinoma skin/ left ear and extrn auric canal Squamous cell carcinoma of skin of left ear and external auricular canal
01664 C4429   0 Oth malignant neoplasm skin/ ear and external auric canal    Other specified malignant neoplasm of skin of ear and external auricular canal
01665 C44291  1 Oth malig neoplasm skin/ unsp ear and external auric canal   Other specified malignant neoplasm of skin of unspecified ear and external auricular canal
01666 C44292  1 Oth malig neoplasm skin/ right ear and external auric canal  Other specified malignant neoplasm of skin of right ear and external auricular canal
01667 C44299  1 Oth malig neoplasm skin/ left ear and external auric canal   Other specified malignant neoplasm of skin of left ear and external auricular canal
01668 C443    0 Oth and unsp malignant neoplasm skin/ and unsp parts of face Other and unspecified malignant neoplasm of skin of other and unspecified parts of face
01669 C4430   0 Unsp malignant neoplasm of skin of and unsp parts of face    Unspecified malignant neoplasm of skin of other and unspecified parts of face
01670 C44300  1 Unsp malignant neoplasm of skin of unspecified part of face  Unspecified malignant neoplasm of skin of unspecified part of face
01671 C44301  1 Unspecified malignant neoplasm of skin of nose               Unspecified malignant neoplasm of skin of nose
01672 C44309  1 Unsp malignant neoplasm of skin of other parts of face       Unspecified malignant neoplasm of skin of other parts of face
01673 C4431   0 Basal cell carcinoma of skin of other and unsp parts of face Basal cell carcinoma of skin of other and unspecified parts of face
01674 C44310  1 Basal cell carcinoma of skin of unspecified parts of face    Basal cell carcinoma of skin of unspecified parts of face
01675 C44311  1 Basal cell carcinoma of skin of nose                         Basal cell carcinoma of skin of nose
01676 C44319  1 Basal cell carcinoma of skin of other parts of face          Basal cell carcinoma of skin of other parts of face
01677 C4432   0 Squamous cell carcinoma of skin of and unsp parts of face    Squamous cell carcinoma of skin of other and unspecified parts of face
01678 C44320  1 Squamous cell carcinoma of skin of unspecified parts of face Squamous cell carcinoma of skin of unspecified parts of face
01679 C44321  1 Squamous cell carcinoma of skin of nose                      Squamous cell carcinoma of skin of nose
01680 C44329  1 Squamous cell carcinoma of skin of other parts of face       Squamous cell carcinoma of skin of other parts of face
01681 C4439   0 Oth malignant neoplasm of skin of oth and unsp parts of face Other specified malignant neoplasm of skin of other and unspecified parts of face
01682 C44390  1 Oth malignant neoplasm of skin of unspecified parts of face  Other specified malignant neoplasm of skin of unspecified parts of face
01683 C44391  1 Other specified malignant neoplasm of skin of nose           Other specified malignant neoplasm of skin of nose
01684 C44399  1 Oth malignant neoplasm of skin of other parts of face        Other specified malignant neoplasm of skin of other parts of face
01685 C444    0 Other and unsp malignant neoplasm of skin of scalp and neck  Other and unspecified malignant neoplasm of skin of scalp and neck
01686 C4440   1 Unspecified malignant neoplasm of skin of scalp and neck     Unspecified malignant neoplasm of skin of scalp and neck
01687 C4441   1 Basal cell carcinoma of skin of scalp and neck               Basal cell carcinoma of skin of scalp and neck
01688 C4442   1 Squamous cell carcinoma of skin of scalp and neck            Squamous cell carcinoma of skin of scalp and neck
01689 C4449   1 Other specified malignant neoplasm of skin of scalp and neck Other specified malignant neoplasm of skin of scalp and neck
01690 C445    0 Other and unspecified malignant neoplasm of skin of trunk    Other and unspecified malignant neoplasm of skin of trunk
01691 C4450   0 Unspecified malignant neoplasm of skin of trunk              Unspecified malignant neoplasm of skin of trunk
01692 C44500  1 Unspecified malignant neoplasm of anal skin                  Unspecified malignant neoplasm of anal skin
01693 C44501  1 Unspecified malignant neoplasm of skin of breast             Unspecified malignant neoplasm of skin of breast
01694 C44509  1 Unsp malignant neoplasm of skin of other part of trunk       Unspecified malignant neoplasm of skin of other part of trunk
01695 C4451   0 Basal cell carcinoma of skin of trunk                        Basal cell carcinoma of skin of trunk
01696 C44510  1 Basal cell carcinoma of anal skin                            Basal cell carcinoma of anal skin
01697 C44511  1 Basal cell carcinoma of skin of breast                       Basal cell carcinoma of skin of breast
01698 C44519  1 Basal cell carcinoma of skin of other part of trunk          Basal cell carcinoma of skin of other part of trunk
01699 C4452   0 Squamous cell carcinoma of skin of trunk                     Squamous cell carcinoma of skin of trunk
01700 C44520  1 Squamous cell carcinoma of anal skin                         Squamous cell carcinoma of anal skin
01701 C44521  1 Squamous cell carcinoma of skin of breast                    Squamous cell carcinoma of skin of breast
01702 C44529  1 Squamous cell carcinoma of skin of other part of trunk       Squamous cell carcinoma of skin of other part of trunk
01703 C4459   0 Other specified malignant neoplasm of skin of trunk          Other specified malignant neoplasm of skin of trunk
01704 C44590  1 Other specified malignant neoplasm of anal skin              Other specified malignant neoplasm of anal skin
01705 C44591  1 Other specified malignant neoplasm of skin of breast         Other specified malignant neoplasm of skin of breast
01706 C44599  1 Oth malignant neoplasm of skin of other part of trunk        Other specified malignant neoplasm of skin of other part of trunk
01707 C446    0 Oth and unsp malig neoplasm skin/ upper limb, inc shoulder   Other and unspecified malignant neoplasm of skin of upper limb, including shoulder
01708 C4460   0 Unsp malignant neoplasm skin/ upper limb, including shoulder Unspecified malignant neoplasm of skin of upper limb, including shoulder
01709 C44601  1 Unsp malignant neoplasm skin/ unsp upper limb, inc shoulder  Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder
01710 C44602  1 Unsp malignant neoplasm skin/ right upper limb, inc shoulder Unspecified malignant neoplasm of skin of right upper limb, including shoulder
01711 C44609  1 Unsp malignant neoplasm skin/ left upper limb, inc shoulder  Unspecified malignant neoplasm of skin of left upper limb, including shoulder
01712 C4461   0 Basal cell carcinoma skin/ upper limb, including shoulder    Basal cell carcinoma of skin of upper limb, including shoulder
01713 C44611  1 Basal cell carcinoma skin/ unsp upper limb, inc shoulder     Basal cell carcinoma of skin of unspecified upper limb, including shoulder
01714 C44612  1 Basal cell carcinoma skin/ right upper limb, inc shoulder    Basal cell carcinoma of skin of right upper limb, including shoulder
01715 C44619  1 Basal cell carcinoma skin/ left upper limb, inc shoulder     Basal cell carcinoma of skin of left upper limb, including shoulder
01716 C4462   0 Squamous cell carcinoma skin/ upper limb, including shoulder Squamous cell carcinoma of skin of upper limb, including shoulder
01717 C44621  1 Squamous cell carcinoma skin/ unsp upper limb, inc shoulder  Squamous cell carcinoma of skin of unspecified upper limb, including shoulder
01718 C44622  1 Squamous cell carcinoma skin/ right upper limb, inc shoulder Squamous cell carcinoma of skin of right upper limb, including shoulder
01719 C44629  1 Squamous cell carcinoma skin/ left upper limb, inc shoulder  Squamous cell carcinoma of skin of left upper limb, including shoulder
01720 C4469   0 Oth malignant neoplasm skin/ upper limb, including shoulder  Other specified malignant neoplasm of skin of upper limb, including shoulder
01721 C44691  1 Oth malignant neoplasm skin/ unsp upper limb, inc shoulder   Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder
01722 C44692  1 Oth malignant neoplasm skin/ right upper limb, inc shoulder  Other specified malignant neoplasm of skin of right upper limb, including shoulder
01723 C44699  1 Oth malignant neoplasm skin/ left upper limb, inc shoulder   Other specified malignant neoplasm of skin of left upper limb, including shoulder
01724 C447    0 Oth and unsp malignant neoplasm skin/ lower limb, inc hip    Other and unspecified malignant neoplasm of skin of lower limb, including hip
01725 C4470   0 Unsp malignant neoplasm of skin of lower limb, including hip Unspecified malignant neoplasm of skin of lower limb, including hip
01726 C44701  1 Unsp malignant neoplasm skin/ unsp lower limb, including hip Unspecified malignant neoplasm of skin of unspecified lower limb, including hip
01727 C44702  1 Unsp malignant neoplasm skin/ right lower limb, inc hip      Unspecified malignant neoplasm of skin of right lower limb, including hip
01728 C44709  1 Unsp malignant neoplasm skin/ left lower limb, including hip Unspecified malignant neoplasm of skin of left lower limb, including hip
01729 C4471   0 Basal cell carcinoma of skin of lower limb, including hip    Basal cell carcinoma of skin of lower limb, including hip
01730 C44711  1 Basal cell carcinoma skin/ unsp lower limb, including hip    Basal cell carcinoma of skin of unspecified lower limb, including hip
01731 C44712  1 Basal cell carcinoma skin/ right lower limb, including hip   Basal cell carcinoma of skin of right lower limb, including hip
01732 C44719  1 Basal cell carcinoma skin/ left lower limb, including hip    Basal cell carcinoma of skin of left lower limb, including hip
01733 C4472   0 Squamous cell carcinoma of skin of lower limb, including hip Squamous cell carcinoma of skin of lower limb, including hip
01734 C44721  1 Squamous cell carcinoma skin/ unsp lower limb, including hip Squamous cell carcinoma of skin of unspecified lower limb, including hip
01735 C44722  1 Squamous cell carcinoma skin/ right lower limb, inc hip      Squamous cell carcinoma of skin of right lower limb, including hip
01736 C44729  1 Squamous cell carcinoma skin/ left lower limb, including hip Squamous cell carcinoma of skin of left lower limb, including hip
01737 C4479   0 Oth malignant neoplasm of skin of lower limb, including hip  Other specified malignant neoplasm of skin of lower limb, including hip
01738 C44791  1 Oth malignant neoplasm skin/ unsp lower limb, including hip  Other specified malignant neoplasm of skin of unspecified lower limb, including hip
01739 C44792  1 Oth malignant neoplasm skin/ right lower limb, including hip Other specified malignant neoplasm of skin of right lower limb, including hip
01740 C44799  1 Oth malignant neoplasm skin/ left lower limb, including hip  Other specified malignant neoplasm of skin of left lower limb, including hip
01741 C448    0 Oth and unsp malignant neoplasm of overlapping sites of skin Other and unspecified malignant neoplasm of overlapping sites of skin
01742 C4480   1 Unspecified malignant neoplasm of overlapping sites of skin  Unspecified malignant neoplasm of overlapping sites of skin
01743 C4481   1 Basal cell carcinoma of overlapping sites of skin            Basal cell carcinoma of overlapping sites of skin
01744 C4482   1 Squamous cell carcinoma of overlapping sites of skin         Squamous cell carcinoma of overlapping sites of skin
01745 C4489   1 Oth malignant neoplasm of overlapping sites of skin          Other specified malignant neoplasm of overlapping sites of skin
01746 C449    0 Other and unsp malignant neoplasm of skin, unspecified       Other and unspecified malignant neoplasm of skin, unspecified
01747 C4490   1 Unspecified malignant neoplasm of skin, unspecified          Unspecified malignant neoplasm of skin, unspecified
01748 C4491   1 Basal cell carcinoma of skin, unspecified                    Basal cell carcinoma of skin, unspecified
01749 C4492   1 Squamous cell carcinoma of skin, unspecified                 Squamous cell carcinoma of skin, unspecified
01750 C4499   1 Other specified malignant neoplasm of skin, unspecified      Other specified malignant neoplasm of skin, unspecified
01751 C45     0 Mesothelioma                                                 Mesothelioma
01752 C450    1 Mesothelioma of pleura                                       Mesothelioma of pleura
01753 C451    1 Mesothelioma of peritoneum                                   Mesothelioma of peritoneum
01754 C452    1 Mesothelioma of pericardium                                  Mesothelioma of pericardium
01755 C457    1 Mesothelioma of other sites                                  Mesothelioma of other sites
01756 C459    1 Mesothelioma, unspecified                                    Mesothelioma, unspecified
01757 C46     0 Kaposi's sarcoma                                             Kaposi's sarcoma
01758 C460    1 Kaposi's sarcoma of skin                                     Kaposi's sarcoma of skin
01759 C461    1 Kaposi's sarcoma of soft tissue                              Kaposi's sarcoma of soft tissue
01760 C462    1 Kaposi's sarcoma of palate                                   Kaposi's sarcoma of palate
